Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/Person453112/status/2042884078613971384,Person453112,"YouTube bans Explosive Media channel (the one creating a lot of Iran Lego propaganda videos). More proof of the systemic moderation bias of US Silicon Valley companies, magnified when it comes to US foreign policy interests",338835,9691,3943,149,2026-04-11T08:34:53+00:00,2026-04-12T14:45:29.484128+00:00
https://x.com/Mr_Bhagat08/status/2041135648963236278,Mr_Bhagat08," NEW Lego Animation Video from Explosive Media Team in Iran

Titled: Black Friday",43068,1477,482,15,2026-04-06T12:47:15+00:00,2026-04-12T14:26:58.971207+00:00
https://x.com/txemasg/status/2041661740056801736,txemasg,"RT 
@ExplosiveMediaa
: Trump has agreed to all 10 of Iran’s conditions. and he only had one demand of his own:
That Explosive Media stops cal…",4,0,147,0,2026-04-07T23:37:45+00:00,2026-04-12T14:25:59.377725+00:00
https://x.com/txemasg/status/2042065999323644071,txemasg," NEW Lego Style Music Video from Iran via PersiaBoi Studios

Titled: Bases Down

Oh My God ",119753,1674,735,22,2026-04-09T02:24:08+00:00,2026-04-12T14:24:59.160707+00:00
https://x.com/txemasg/status/2042051887558431135,txemasg," New LEGO clip: “We Will Fulfill Our Duty To Lebanon”

The scene in the LEGO clip is a tribute to a real family that was killed in today’s Israeli airstrikes on Beirut.

A mother and her children were murdered by Israel in the attack.",38037,1784,726,35,2026-04-09T01:28:04+00:00,2026-04-12T14:24:59.160707+00:00
https://x.com/txemasg/status/2042881987065843784,txemasg,The LEGO videos get better and better,85737,4514,1321,67,2026-04-11T08:26:35+00:00,2026-04-12T14:23:29.540044+00:00
https://x.com/txemasg/status/2042605424432570504,txemasg,"Translated to Spanish, the lyrics are awesome 

Accounts linked to Iran continue to spread a wave of LEGO-style AI-generated propaganda.

This phenomenon has a name: slopaganda. Propaganda created with AI designed to spread political narratives on a large scale, regardless of",9976,922,611,18,2026-04-10T14:07:37+00:00,2026-04-12T14:23:29.540044+00:00
https://x.com/txemasg/status/2043106684847960514,txemasg,"Iranians just published the new very banger LEGO AI movie that Trump almost wants to put onto agreement list to stop them.

Do whatever you need to do but don't let Trump watch this ",590314,24229,9583,454,2026-04-11T23:19:27+00:00,2026-04-12T14:22:59.448869+00:00
https://x.com/txemasg/status/2043056496104079818,txemasg,"NEW : Lego Style Video Tease from Explosive Media of their New Music Video: Loser 2 (LIAR)

This one will be WILD",171613,1658,519,8,2026-04-11T20:00:01+00:00,2026-04-12T14:22:59.448869+00:00
https://x.com/txemasg/status/2043021438542651447,txemasg," Iran just dropped ANOTHER SAVAGE Lego roast “The Professor VS The Dog” and it’s straight HEAT 

Professor schooling the crying Trump (aka The Dog) with straight fire rap bars on US aircraft carriers, Bibby/Israel alliances, asymmetric chess, Senate votes, oil games and the",58168,635,284,4,2026-04-11T17:40:43+00:00,2026-04-12T14:22:59.448869+00:00
https://x.com/txemasg/status/2043124426007322935,txemasg," You've played your last card.  
You have no more aces left.  

You're DISCARDED.  
LOSER!  

Our latest LEGO-style animation:  
𝐋𝐈𝐀𝐑 ",1012,48,24,0,2026-04-12T00:29:57+00:00,2026-04-12T14:22:28.885302+00:00
https://x.com/txemasg/status/2043106537518793020,txemasg,"New Iran Lego video: L.I.A.R!

The music is awesome and Trump is being exposed!",21528,1320,512,19,2026-04-11T23:18:52+00:00,2026-04-12T14:22:28.885302+00:00
https://x.com/TheBirmingham6/status/2041719028344091029,TheBirmingham6, The LEGO TACO Movie already dropped.,92973,2359,749,37,2026-04-08T03:25:24+00:00,2026-04-12T13:37:53.248408+00:00
https://x.com/TheBirmingham6/status/2041680678559900005,TheBirmingham6,"Babe wake up, another Iran Lego movie just dropped",205878,2601,541,41,2026-04-08T00:53:01+00:00,2026-04-12T13:37:53.248408+00:00
https://x.com/TheBirmingham6/status/2042345775028482306,TheBirmingham6,"Iran's Explosive Media with a new Lego Short: ""Path of Blood""",12805,391,159,5,2026-04-09T20:55:52+00:00,2026-04-12T13:36:53.183062+00:00
https://x.com/TheBirmingham6/status/2042344037986820559,TheBirmingham6,"NEW  Lego Style Video from Explosive Media in Iran About the Assassination of Ayatollah Ali Khamenei

Titled: ""Path of Blood""",10285,379,138,8,2026-04-09T20:48:58+00:00,2026-04-12T13:36:53.183062+00:00
https://x.com/TheBirmingham6/status/2042408876608295374,TheBirmingham6,"Wake up babe, a new Lego movie just dropped",118124,3575,1022,45,2026-04-10T01:06:36+00:00,2026-04-12T13:36:23.19868+00:00
https://x.com/TheBirmingham6/status/2042380031691719125,TheBirmingham6,"The amount of work and research 
@ExplosiveMediaa
 put into these Lego videos is orders of magnitude beyond anything coming out of the genocidal Western media.",36634,1410,305,9,2026-04-09T23:11:59+00:00,2026-04-12T13:36:23.19868+00:00
https://x.com/TheBirmingham6/status/2042778633886908910,TheBirmingham6,New Lego-Style Movie: The Epstein Curse ,62634,2580,899,19,2026-04-11T01:35:53+00:00,2026-04-12T13:35:53.159253+00:00
https://x.com/TheBirmingham6/status/2042588271297912941,TheBirmingham6,"CALLED IT  I smelled a LEGO Melania video was coming—and just like that, it magically appears.",332460,11214,4054,132,2026-04-10T12:59:27+00:00,2026-04-12T13:35:53.159253+00:00
https://x.com/TheBirmingham6/status/2042573321817199101,TheBirmingham6," NEW Lego Style Music Video from Iran via Uknown Studios

Titled: Fake Peace

""The Art of the Steal""",117525,1253,537,14,2026-04-10T12:00:03+00:00,2026-04-12T13:35:53.159253+00:00
https://x.com/TheBirmingham6/status/2042970268038029689,TheBirmingham6,"These Iranian LEGO videos are absolutely brutal, and it's funny how LEGO is staying out of it ",111735,4625,1038,68,2026-04-11T14:17:23+00:00,2026-04-12T13:35:23.460296+00:00
https://x.com/txemasg/status/2043104833448599818,txemasg,"You played your last card.
No more aces.

You're DISCARDED.
L.O.S.E.R!

Our latest LEGO-style animation:
𝐋𝐈𝐀𝐑 ",227561,10848,4485,414,2026-04-11T23:12:06+00:00,2026-04-12T13:34:53.398466+00:00
https://x.com/TheBirmingham6/status/2043196117878243621,TheBirmingham6,"If you want to know how absurd and biased the banning of the anti-US/Israel war Lego AI Youtube channel for violent content is, look at official accounts belonging to the IDF and the Whitehouse across all platforms. It's literally videos of real people getting blown up.",63615,4006,1415,29,2026-04-12T05:14:49+00:00,2026-04-12T13:33:48.360165+00:00
https://x.com/TheBirmingham6/status/2042578004199567624,TheBirmingham6,"Damn. Iran just dropped an A+ level troll on Trump in this new LEGO movie.

I’m no fan of Iran at all… but this one actually nails him. ",550074,13379,3766,271,2026-04-10T12:18:40+00:00,2026-04-10T14:36:46.683585+00:00
https://x.com/txemasg/status/2042369786051465555,txemasg," New Lego-style video just dropped from 
@ExplosiveMediaa
 called “Path of Blood” and it’s straight cinematic!! 

“His blood will carve its own path… and unleash a storm.”

These videos keep leveling up! 

#PathOfBlood #Iran #LegoAnimation #Ummah #MiddleEast #Viral",2521,96,37,1,2026-04-09T22:31:17+00:00,2026-04-10T13:56:46.298382+00:00
https://x.com/txemasg/status/2042316160222285900,txemasg,"The Government of Iran made another Lego animation portraying Trump as a pedophile, depicting him as dismantling his entire political program and violating the ceasefire to end up governing for Israel. They show the dead American soldiers, the rise in fuel prices, the economic",26021,1628,954,22,2026-04-09T18:58:11+00:00,2026-04-10T13:36:16.285061+00:00
https://x.com/ani_says1/status/2042528743046947074,ani_says1,"The Lego’s are spreading!!! 

The UK has entered the room with a LEGO cartoon blaming Trump for all the issues in the UK!!! #lego #cartoon #donaldtrump #unitedkingdom #new",5286,261,89,14,2026-04-10T09:02:55+00:00,2026-04-10T13:35:16.639136+00:00
https://x.com/Paddystinian/status/2042353363468046679,Paddystinian,"New Lego-Style Soundtrack:
Donald Trump: Maniac in Charge ",138645,5376,2207,112,2026-04-09T21:26:01+00:00,2026-04-10T13:35:16.639136+00:00
https://x.com/kryptograph3r/status/2042584756752114148,kryptograph3r,"Explosive Media is bringing more awareness than the western media combined!  Yankees and zionists mistake be fuming 

Iran is showing them that the Billions they invested in weaponry and media can be easily beaten with couple thousands of investment!",16,1,0,0,2026-04-10T12:45:30+00:00,2026-04-10T13:32:46.563541+00:00
https://x.com/anniefofani/status/2042291220895220011,anniefofani,"""I don't think there's another piece of media that has come out of this conflict that has been talked about, reshared as much as the Lego videos.”


Congrats!",485,37,2,1,2026-04-09T17:19:05+00:00,2026-04-10T13:32:46.563541+00:00
https://x.com/PaulBec70789962/status/2042264455740850186,PaulBec70789962,Can’t wait for Explosive Media to do an Epstein Island expose.,250,14,0,1,2026-04-09T15:32:44+00:00,2026-04-10T13:32:46.563541+00:00
https://x.com/TheBirmingham6/status/2042339848673964108,TheBirmingham6,"Explosive Media, the original makers of the AI LEGO movies legacy, just published the new Iranian LEGO movie",60899,3309,1082,33,2026-04-09T20:32:19+00:00,2026-04-10T12:57:45.988464+00:00
