Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/moore_lynz45577/status/2041886673890386228,"moore_lynz45577","Blood sacrifice 
Literally
Their gods demand it",192,1,0,0,2026-04-08T14:31:34+00:00,2026-04-12T13:52:30.572855+00:00
https://x.com/moore_lynz45577/status/2041713437131096279,"moore_lynz45577","Go fuck yourself 
Repeatedly 
Jd will NEVER be president",7,0,0,0,2026-04-08T03:03:11+00:00,2026-04-12T13:52:30.572855+00:00
https://x.com/moore_lynz45577/status/2041668705654866104,"moore_lynz45577","Go fuck yourself 
Repeatedly 
You who will NEVER be president",3,0,0,0,2026-04-08T00:05:26+00:00,2026-04-12T13:52:30.572855+00:00
https://x.com/moore_lynz45577/status/2041621986938409410,"moore_lynz45577","Americans do NOT support this war in any way, shape or form.
Go fuck yourself
Repeatedly 
You despicable israeli shill",34,3,2,0,2026-04-07T20:59:47+00:00,2026-04-12T13:52:30.572855+00:00
https://x.com/moore_lynz45577/status/2041317046877659456,"moore_lynz45577","Why was  melania stupidly holding them???",27,1,0,0,2026-04-07T00:48:04+00:00,2026-04-12T13:52:30.572855+00:00
https://x.com/moore_lynz45577/status/2042052565618049484,"moore_lynz45577","Go fuck yourselves 
Repeatedly 
You subhuman soulless amoral assholes",0,0,0,0,2026-04-09T01:30:45+00:00,2026-04-12T13:52:00.72732+00:00
https://x.com/moore_lynz45577/status/2041229408183165015,"moore_lynz45577","I hope he is imprisoned for the rest of his miserable life.",5,1,0,0,2026-04-06T18:59:49+00:00,2026-04-12T13:52:00.72732+00:00
https://x.com/moore_lynz45577/status/2040918080944033981,"moore_lynz45577","Go fuck yourself 
Repeatedly 
You bought and paid for ssshole",11,4,1,0,2026-04-05T22:22:43+00:00,2026-04-12T13:52:00.72732+00:00
https://x.com/moore_lynz45577/status/2040899707094892584,"moore_lynz45577","Go fuck yourself 
Repeatedly 
I block MORONS",5,1,0,0,2026-04-05T21:09:42+00:00,2026-04-12T13:52:00.72732+00:00
https://x.com/moore_lynz45577/status/2040807851606585381,"moore_lynz45577","Why don't you shut the fuck up??
You subhuman soulless amoral asshole 
And go fuck yourself 
Repeatedly",200,9,1,0,2026-04-05T15:04:42+00:00,2026-04-12T13:52:00.72732+00:00
https://x.com/moore_lynz45577/status/2041579989615698192,"moore_lynz45577","Sorry to burst your bubble
It turns out trump is the deep state",20,0,0,0,2026-04-07T18:12:54+00:00,2026-04-12T13:49:23.089876+00:00
https://x.com/moore_lynz45577/status/2041562047398187083,"moore_lynz45577","You are not alone, Jake
Millions and millions of us feel just like you.
We need to mobilize NOW",29,3,1,0,2026-04-07T17:01:37+00:00,2026-04-12T13:49:23.089876+00:00
