target1,target2,shared_followers
JeSuis34C,ElsyObradorova,2237
Soureh_design2,ExplosiveMediaa,1448
fahimiqbalemon,Richard_Prins,983
Richard_Prins,RIPGeorgeHabash,917
Richard_Prins,DKLarge2,754
Mima091203,Richard_Prins,662
mayasdreams,Richard_Prins,644
fahimiqbalemon,DKLarge2,640
fahimiqbalemon,RIPGeorgeHabash,638
Richard_Prins,ezbiderman,630
farahadams,Oldbag12345,626
fahimiqbalemon,Mima091203,624
fahimiqbalemon,ezbiderman,589
Oldbag12345,DKLarge2,573
DKLarge2,RIPGeorgeHabash,569
TheBirmingham6,DKLarge2,561
mayasdreams,DKLarge2,558
mayasdreams,Mima091203,539
mayasdreams,fahimiqbalemon,535
farahadams,JoannaTeglund,508
farahadams,DKLarge2,506
fahimiqbalemon,Hessamedia,500
ouitrvl,Richard_Prins,464
Mima091203,DKLarge2,457
Oldbag12345,JoannaTeglund,454
fahimiqbalemon,ouitrvl,445
Mima091203,ezbiderman,436
Richard_Prins,Hessamedia,418
TheBirmingham6,anniefofani,416
mayasdreams,RIPGeorgeHabash,399
silversinergy,Richard_Prins,380
DKLarge2,JoannaTeglund,374
Mima091203,RIPGeorgeHabash,372
mayasdreams,Oldbag12345,368
silversinergy,fahimiqbalemon,352
ezbiderman,Hessamedia,348
vulgarboatman,RIPGeorgeHabash,339
Richard_Prins,vulgarboatman,337
mayasdreams,ezbiderman,334
RIPGeorgeHabash,ezbiderman,334
Oldbag12345,RIPGeorgeHabash,333
Oldbag12345,Mima091203,330
anniefofani,ExplosiveMediaa,324
ouitrvl,ezbiderman,316
Mima091203,ysinvacaciones,310
DKLarge2,vulgarboatman,307
DKLarge2,anniefofani,307
DKLarge2,ezbiderman,304
Mima091203,Hessamedia,301
farahadams,mayasdreams,298
Richard_Prins,anniefofani,298
Soureh_design2,anniefofani,293
ouitrvl,Mima091203,290
ysinvacaciones,YoCambio20D,284
fahimiqbalemon,qqggpp86,280
RIPGeorgeHabash,Hessamedia,274
RIPGeorgeHabash,anniefofani,262
mayasdreams,Hessamedia,259
fahimiqbalemon,Oldbag12345,259
silversinergy,ezbiderman,258
Oldbag12345,Richard_Prins,258
silversinergy,Mima091203,257
farahadams,tchemtcem,251
ouitrvl,RIPGeorgeHabash,251
fahimiqbalemon,vulgarboatman,248
mayasdreams,ysinvacaciones,247
mayasdreams,anniefofani,243
Oldbag12345,qqggpp86,241
qqggpp86,Mima091203,240
farahadams,anniefofani,239
farahadams,qqggpp86,237
DKLarge2,Hessamedia,235
Richard_Prins,ysinvacaciones,228
silversinergy,RIPGeorgeHabash,227
ouitrvl,Hessamedia,225
Mima091203,YoCambio20D,225
fahimiqbalemon,qaizimi,222
silversinergy,Hessamedia,221
qqggpp86,DKLarge2,219
fahimiqbalemon,ysinvacaciones,217
silversinergy,ouitrvl,214
TheBirmingham6,ExplosiveMediaa,212
qqggpp86,ezbiderman,211
Soureh_design2,RIPGeorgeHabash,210
mayasdreams,vulgarboatman,208
DenyThemEssence,anniefofani,207
KeivanS5,fahimiqbalemon,207
JoannaTeglund,anniefofani,206
mayasdreams,JoannaTeglund,205
RIPGeorgeHabash,JoannaTeglund,203
farahadams,RIPGeorgeHabash,201
mayasdreams,ouitrvl,198
KeivanS5,Richard_Prins,197
KeivanS5,Hessamedia,197
tchemtcem,Oldbag12345,195
silversinergy,mayasdreams,194
qqggpp86,Richard_Prins,193
silversinergy,DKLarge2,192
Richard_Prins,qaizimi,191
mayasdreams,qqggpp86,188
qaizimi,ezbiderman,187
ouitrvl,DKLarge2,185
